target,message,num_char,word_counts,sentance_count,preprocess_data,tf_num_char,tf_word_counts,tf_sentance_count
0,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",111,24,2,go jurong point crazy available bugis n great world la e buffet cine got amore wat,82,16,1
0,Ok lar... Joking wif u oni...,29,8,2,ok lar joking oni,17,4,1
1,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,155,37,2,free entry 2 weekly comp win fa cup final tkts 21st may 2005 text fa 87121 receive entry questionstd txt ratetcs apply 08452810075over18s,137,23,1
0,U dun say so early hor... U c already then say...,49,13,1,dun say early hor c already say,31,7,1
0,"Nah I don't think he goes to usf, he lives around here though",61,15,1,nah dont think go usf life around though,40,8,1
1,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",148,39,4,freemsg hey darling 3 week word back id like fun still tb ok xxx std chgs send 150 rcv,86,19,1
0,Even my brother is not like to speak with me. They treat me like aids patent.,77,18,2,even brother like speak treat like aid patent,45,8,1
0,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,160,31,2,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press 9 copy friend callertune,111,16,1
1,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,158,32,5,winner valued network customer selected receivea 900 prize reward claim call 09061701461 claim code kl341 valid 12 hour,119,18,1
1,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,154,31,3,mobile 11 month entitled update latest colour mobile camera free call mobile update co free 08002986030,103,16,1
0,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",109,28,2,im gon na home soon dont want talk stuff anymore tonight k ive cried enough today,81,16,1
1,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",136,31,3,six chance win cash 100 20000 pound txt csh11 send 87575 cost 150pday 6days 16 tsandcs apply reply hl 4 info,108,21,1
1,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",156,32,3,urgent 1 week free membership 100000 prize jackpot txt word claim 81010 tc wwwdbuknet lccltd pobox 4403ldnw1a7rw18,114,17,1
0,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,196,41,3,ive searching right word thank breather promise wont take help granted fulfil promise wonderful blessing time,109,16,1
0,I HAVE A DATE ON SUNDAY WITH WILL!!,35,10,2,date sunday,11,2,1
1,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",149,28,2,xxxmobilemovieclub use credit click wap link next txt message click httpwap xxxmobilemovieclubcomnqjkgighjjgcbl,111,12,1
0,Oh k...i'm watching here:),26,9,1,oh kim watching,15,3,1
0,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,81,22,3,eh remember 2 spell name yes v naughty make v wet,49,11,1
0,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,58,14,2,fine thats way feel thats way gota b,36,8,1
1,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",156,28,2,england v macedonia dont miss goalsteam news txt national team 87077 eg england 87077 trywales scotland 4txt120 poboxox36504w45wq 16,132,19,1
0,Is that seriously how you spell his name?,41,9,1,seriously spell name,20,3,1
0,IÛ÷m going to try for 2 months ha ha only joking,49,11,1,im going try 2 month ha ha joking,33,8,1
0,So Ì_ pay first lar... Then when is da stock comin...,53,13,1,pay first lar buddy stock comin,31,6,1
0,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,88,23,3,aft finish lunch go str youknow ard 3 smth youknow finish lunch already,71,13,1
0,Ffffffffff. Alright no way I can meet up with you sooner?,57,13,2,ffffffffff alright way meet sooner,34,5,1
0,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,144,35,6,forced eat slice im really hungry tho suck mark getting worried know im sick turn pizza laugh loud,98,18,1
0,Lol your always so convincing.,30,6,1,laugh loud always convincing,28,4,1
0,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,134,34,5,catch bus frying egg make tea eating mom left dinner feel love,62,12,1
0,"I'm back &amp; we're packing the car now, I'll let you know if there's room",75,22,1,im back amp packing car ill let know there room,47,10,1
0,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,64,16,5,ahhh work vaguely remember feel like laugh loud,47,8,1
0,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",130,30,1,wait thats still clear sure sarcastic thats x doesnt want live u,64,12,1
